filename,label
/home/Jhin0324/Jhin/PlantVilliageDataset/0/d1938082-a2de-49ad-8ca2-4b1947a7e107___FREC_Scab 3212.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/6105e3bd-339c-47bd-9764-4ba9b7059a6b___FREC_Scab 3096.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/9f815013-3c21-403b-80ca-c69cd82d6251___FREC_Scab 2963.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/c0b4c09e-80d2-4f4e-a87f-eecd09f656fd___FREC_Scab 3452.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/b98c71e9-79a0-4e8d-9c8d-0438c4fe8a57___FREC_Scab 2948.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/6b66d8dd-af9f-43b5-a43f-6e4c6d64bede___FREC_Scab 3248.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/f2fb711e-3bcb-4729-9352-205c8dd0576f___FREC_Scab 3118.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/7b3e4313-9abb-4105-8be9-2020f1101e58___FREC_Scab 3441.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/88079400-60e9-4317-b917-0bee6c8c16f5___FREC_Scab 3411.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/461eeeb9-5bf1-4c0a-a7dd-6967917b4537___FREC_Scab 3098.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/ef0593e6-f8bc-4501-9c2a-8ee8a6ff33fc___FREC_Scab 3495.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/72317b7f-8162-4454-b6db-c2e6e5455911___FREC_Scab 3088.JPG,0
/home/Jhin0324/Jhin/PlantVilliageDataset/0/22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206.JPG,0
